评论文本 (Text),ChnSentiCorp原始标签 (Original Label),修正后标签 (Correct Label),错误分析 (Error Analysis)
这是本perfect的书！看到拉拉仿佛看到我自己，我现在也是一名销售助理兼行政主管，所以看这本书的时候我视拉拉为自己，其中人物的内心感受和我有惊人的相似，所以我更能体会主人公拉拉的感受和理解拉拉的举动。我也曾迷茫，是拉拉给了我前进的动力！作为刚踏上社会的我来说 总是感情用事，做事太直，我要不断吸取社会经验、为人处事知道，让自己不断进步。书中的很多道理是很实用的，有时我也会刻意要求自己怎样怎样做。有时我会埋怨，因为在公司看起来我似乎是最忙的，可是我的薪水依然是最低的。拉拉就是我的榜样，和我同行业的榜样，我要进步，只要我努力，我一定会进步！《杜拉拉升职记》值得阅读的一本好书！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
不知是硬盘还是什么东西 已运行咔咔咔咔咔咔咔咔响个不停，很有节奏，可以当鼓点听，拿去华硕的售后竟然说正常~！！怒~！！！怒不敢言~！！！万一给抓进去关一年可亏了~！！！！,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
22号到的香港，是觉得这个酒店地址还比较好，但是没想到很失望，当时在携程预订时说了不要低楼层和要大床房，但是到了前台被告知没接到过这些要求，好不容易换了个大床房也在3楼，窗子看出去是个平台，很压抑的感觉，卫生间有股很难闻的怪味道，电视机很小很破的那种，服务也不太好，反正我觉得有受骗的感觉。。。。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
酒店新装修，房间硬件设施还是不错的。但是，餐厅实在太差，上菜非常慢，价格奇贵，且质量差。86元2小片的香煎银鳕鱼居然是臭的，叫来餐厅经理，品尝了半天不吭声，最后竟然然颠倒黑白地说不臭，实在不能容忍。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
用调侃通俗的手法写明朝历史，既普及了历史，又让读者享受了阅读的快感，谢谢当年明月，太有才了！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
如家的定位还是很不错的，我出差还是基本订如家。这次在十一经路店遇到了麻烦，在一楼餐厅吃饭时，钱夹被偷了！本来出门很小心的，看到餐厅里只有很少几位住店客人就餐，也就放松了警惕，把外套放在了椅子上，结果被贼盯上了，做到我后面掏了我的口袋（后悔呀，座到最后一排，恐怕贼就不好下手了！）。小服务员（估计不到20）觉出什么来了，好心提醒我要给我套衣服，我还觉得奇怪，平常没套过呀（活该破财，人家暗示我，我都没反应）。大家再来天津这个店，要小心了！,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
刚买的这款电脑，在自提点打开的，就发现键盘已经坏了，有个按键都快掉了，自提点不管，让去联系退换货部门，退换货部门说键盘坏了不管退换，让去惠普自己更换新键盘。 在京东刚买的东西出现问题就要四处跑去修理，他们把责任推的一干二净，现在除非你出具惠普的质检报告，他们才给受理。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
这部书可以用来作为榜样，激励实现梦想，挥别周而复始的单调生活，寻找自我之旅启程，然后发现生活之美和宁静的内心世界。是一本带来能量的书，我很喜欢！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
先买了《不一样的卡梅拉》的前六册给儿子，每天晚上睡觉前都和他躺在被窝儿里读，我们俩都很喜欢。喜欢书上俏皮的图画，喜欢作者丰富的想象力。后来第七册《我要找到朗朗》刚一出，我就赶紧买来和儿子一起分享了。我们热切地期待着《不一样的卡梅拉》的第八册、第九册、第十册.......。因为我们喜欢卡梅拉、皮迪克、卡梅拉多、卡门带给我们的各种各样的、充满想象力的故事。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
首先，很感谢“求医不如求己”给我和家人及身边的朋友带来的益处。在节奏感愈演愈快的生活中，让所有人都忘记了自己是个生命，是个随时都可能被侵害的生命。我想看过此书的朋友们一定豁然开朗，原来我们是如此轻视我们的身体健康。所以我建议朋友们都看一下此书，相信它会带给您像我一样的大的收获。是此书让我明白有个没有后患的身体才是实现所有梦想的基础。健康与你我同在，“求医不如求己”与健康同在,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
非常不错的非常不错的非常不错的非常不错的非常不错的非常不错的非常不错的非常不错的非常不错的非常不错的,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
《不一样的卡梅拉》的确不一样！家里那么多图书，儿子偏偏对它情有独钟。没事就把它从书架上拿下来一个人静静地翻阅。要不就问我：“我是卡梅拉，妈妈你是谁？”让我和他一起扮演书中的故事，一遍又一遍的，不厌其烦。可见，这本书已深深地印刻在他幼小的心灵中了。这就是一本不一样的好书！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
随着孩子的长大，这本书居然成了孩子的最爱（1岁7个月），连着2个多月，睡前必要这本书。孩子最喜欢的就是最后一页，有时候讲着讲着，就一下子翻到最后，当我说大卫的妈妈说“我爱你的时候”，宝贝女儿也抬头等我说“我爱你”,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
当初就是因为儿子喜欢汽车，加上这本书好评如潮，所以才决定买的。可是买来一个月了，他只翻了一次，就再也不肯看了。我本来以为这套书算是白买了，可最近儿子突然迷上了它，每天都要看两三遍，中午睡觉前和晚上睡觉前，都要看上一小会儿，成了必修课了。当然最爱看的就是《轱辘轱辘转》，他已经不满足我的讲述了，自己一边看着一边用小手指指点点地，一边说着“撞车了”，“轮子破了”，?大嘴巴垃圾车?......等等，那小模样可认真了。这套书成了我们家的图书宝贝。上次只评了两颗星，没办法改了，只好在这里给它一个大大的五星吧！另外我个人建议一下：有小男孩的家庭，年龄在2岁以上，就可以买给孩子看了，尤其是喜欢汽车的男孩子，买它就对了。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
开箱即发现USB口一个是坏的，触摸板左键也是坏的，惠普的质量控制体系可以用垃圾来形容。要求换货还要客户跑到厂方维修部出检测证明，换货过程中返修单留言多日无人回应，售后电话等待时间超长，服务承诺10天完成换货周期实际用了15天，换货过程中间价格降低400多没有价保（一次都没有用到），商品服务都是垃圾等级的。,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
天哪，儿子简直超级喜欢轱辘轱辘转，买回来不到一个月几乎就翻烂了。现在可以说对这本书是倒背如流，随你反倒那一页，他就知道前面一页是什么，后面一页是什么。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
是LINUX系统 相当及其恶心 不知道这狗 日 的是什么想法 要强行逼我们使用啊 买了两台电脑 一个事VISTA系统 一个 是 LINUX 就没见一个XP的 网上销售这东西 最重要的是打架尽量不要涉及到售后服务这块 尽量是都搞好了相安无事 其实网上的售后服务比没有售后服务还差劲 我的THINKPAD SL400就是因为换货期间以为是键盘小问题就懒得换了,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
刚帮朋友买了一个就涨了100元，急用，虽然涨钱了还是只好定了； 可是货刚一送到，马上又改成送内存、杀毒、鼠标。。。。 成心跟我过不去！！！,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
天哪，儿子简直超级喜欢轱辘轱辘转，买回来不到一个月几乎就翻烂了。现在可以说对这本书是倒背如流，随你反倒那一页，他就知道前面一页是什么，后面一页是什么。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
不知是硬盘还是什么东西 已运行咔咔咔咔咔咔咔咔响个不停，很有节奏，可以当鼓点听，拿去华硕的售后竟然说正常~！！怒~！！！怒不敢言~！！！万一给抓进去关一年可亏了~！！！！,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
先后买过两套《不一样的卡梅拉》，因为不仅孩子爱看，大人也爱看，里面的童趣可以唤醒每个人内心中最纯真的一面。画面精美，语言特别适合孩子阅读，我大侄儿特别喜欢这套读物，反复看，爱不释手。所以今年过年我又买了一套送给朋友的孩子，希望他们能健康成长。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
首先，很感谢“求医不如求己”给我和家人及身边的朋友带来的益处。在节奏感愈演愈快的生活中，让所有人都忘记了自己是个生命，是个随时都可能被侵害的生命。我想看过此书的朋友们一定豁然开朗，原来我们是如此轻视我们的身体健康。所以我建议朋友们都看一下此书，相信它会带给您像我一样的大的收获。是此书让我明白有个没有后患的身体才是实现所有梦想的基础。健康与你我同在，“求医不如求己”与健康同在,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
住过几次，感觉还可以。但这次竟然晚上冷的睡不着。穿上毛衣毛裤，盖了3床被子，夸张吧？空调里也是热风，但房间温度就是低，而且外面也不是很冷。真是想不明白。换了一个房间，还是一样。只好退房了！,正面 (Positive),负面 (Negative),该评论表达了投诉、失望等负面情绪，但原始标签错误地将其标记为“正面”。
用了半个月了，感觉就一个字：爽！做工好，价格低，配送快，没话说了，一个字：好！,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
刚在当当网订购这套书时，就跟儿子说我给他订了一套书，里面有小汽车，还有很多好听的有事，儿子非常高兴，这本书到了后，儿子非常喜欢，特别是对轱辘轱辘转这本书格外喜欢，在里面找金虫子乐此不疲，晚上到不肯睡觉。,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
快4岁的女儿很喜欢!同时买的还有《女孩子必读的100个公主故事》，因为女儿近期特别喜欢迪士尼的公主，所以买了，同是买了卡梅拉的全套加这个第七册，没想到女儿听公主故事只是听，而这个卡梅拉的她听了还要自己拿过来不断翻看，还发出咯咯的笑声。。。。。。看了几遍了，我发现这是我这几年买的书里她最喜欢的书..,负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
"看了这本书给我的感觉是很不仅好看还很有用处,本人就是一家外企的行政,但是刚毕业一年多还算菜鸟阶级,书中的狠多知识都能弥补我的欠缺,我把涉及到实际理论方面的那几段都做了标记,特别值得我借鉴和研究.相看恨晚啊!!!",负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
"我家小宝同学特别喜爱卡梅拉系列故事,每天晚上睡觉前非讲不可,那些可爱的故事会陪着他进入梦乡......我自已也很喜欢不一样的卡梅拉,因为里面的图画很有趣,会说话的图片,我认为是这样的,现在儿子已经会自已讲(我想去看大海)了,希望过一段时间,我就可以当一名聆听者了.卡梅拉 皮迪克 卡梅利多 卡门 贝里奥 科尔贝 小六子 小刺头 小胖驐,真的是太有趣了,有机会一定要推荐给所有的小朋友看看",负面 (Negative),正面 (Positive),该评论表达了喜爱、推荐等积极情绪，但原始标签错误地将其标记为“负面”。
